x;experimental;linear;power;exp;quadratic
5;;1,050238;0,842024;1,083348;0,93183
5,5;;1,058595;0,869001;1,089507;0,945978
6;;1,066952;0,894384;1,095702;0,960029
6,5;;1,07531;0,918388;1,101932;0,973982
7;;1,083667;0,941186;1,108197;0,987837
7,5;;1,092024;0,962919;1,114498;1,001596
8;;1,100381;0,983703;1,120835;1,015257
8,5;;1,108738;1,003635;1,127207;1,028821
9;;1,117095;1,022797;1,133616;1,042287
9,5;;1,125452;1,04126;1,140062;1,055657
10;1,06;1,13381;1,059083;1,146544;1,068929
10,5;;1,142167;1,076319;1,153062;1,082103
11;;1,150524;1,093015;1,159618;1,09518
11,5;;1,158881;1,10921;1,166212;1,10816
12;;1,167238;1,124941;1,172842;1,121043
12,5;;1,175595;1,140239;1,179511;1,133828
13;;1,183952;1,155133;1,186217;1,146516
13,5;;1,19231;1,169648;1,192961;1,159107
14;;1,200667;1,183808;1,199744;1,1716
14,5;;1,209024;1,197633;1,206566;1,183996
15;;1,217381;1,211143;1,213426;1,196295
15,5;;1,225738;1,224355;1,220325;1,208496
16;;1,234095;1,237285;1,227263;1,2206
16,5;;1,242452;1,249947;1,234241;1,232607
17;;1,25081;1,262355;1,241259;1,244516
17,5;;1,259167;1,274521;1,248316;1,256328
18;;1,267524;1,286457;1,255413;1,268043
18,5;;1,275881;1,298173;1,262551;1,27966
19;;1,284238;1,309679;1,26973;1,29118
19,5;;1,292595;1,320984;1,276949;1,302603
20;1,33;1,300952;1,332096;1,284209;1,313929
20,5;;1,30931;1,343025;1,291511;1,325157
21;;1,317667;1,353776;1,298854;1,336287
21,5;;1,326024;1,364358;1,306239;1,347321
22;;1,334381;1,374776;1,313666;1,358257
22,5;;1,342738;1,385036;1,321135;1,369096
23;;1,351095;1,395146;1,328646;1,379837
23,5;;1,359452;1,405109;1,336201;1,390482
24;;1,36781;1,414931;1,343798;1,401029
24,5;;1,376167;1,424618;1,351438;1,411478
25;;1,384524;1,434173;1,359122;1,42183
25,5;;1,392881;1,443601;1,36685;1,432085
26;;1,401238;1,452906;1,374621;1,442243
26,5;;1,409595;1,462092;1,382437;1,452303
27;;1,417952;1,471163;1,390297;1,462266
27,5;;1,42631;1,480122;1,398202;1,472132
28;;1,434667;1,488973;1,406151;1,4819
28,5;;1,443024;1,497719;1,414146;1,491571
29;;1,451381;1,506363;1,422187;1,501145
29,5;;1,459738;1,514907;1,430273;1,510621
30;1,52;1,468095;1,523355;1,438405;1,52
30,5;;1,476452;1,53171;1,446583;1,529282
31;;1,48481;1,539973;1,454808;1,538466
31,5;;1,493167;1,548148;1,463079;1,547553
32;;1,501524;1,556236;1,471398;1,556543
32,5;;1,509881;1,56424;1,479764;1,565435
33;;1,518238;1,572162;1,488177;1,57423
33,5;;1,526595;1,580004;1,496639;1,582928
34;;1,534952;1,587769;1,505148;1,591529
34,5;;1,54331;1,595457;1,513706;1,600032
35;;1,551667;1,603071;1,522312;1,608437
35,5;;1,560024;1,610613;1,530968;1,616746
36;;1,568381;1,618084;1,539672;1,624957
36,5;;1,576738;1,625485;1,548426;1,633071
37;;1,585095;1,63282;1,55723;1,641087
37,5;;1,593452;1,640088;1,566084;1,649007
38;;1,60181;1,647291;1,574988;1,656829
38,5;;1,610167;1,654432;1,583943;1,664553
39;;1,618524;1,661511;1,592949;1,67218
39,5;;1,626881;1,668529;1,602006;1,67971
40;1,68;1,635238;1,675488;1,611114;1,687143
40,5;;1,643595;1,682389;1,620275;1,694478
41;;1,651952;1,689233;1,629487;1,701716
41,5;;1,66031;1,696022;1,638752;1,708857
42;;1,668667;1,702756;1,648069;1,7159
42,5;;1,677024;1,709437;1,657439;1,722846
43;;1,685381;1,716065;1,666863;1,729695
43,5;;1,693738;1,722642;1,67634;1,736446
44;;1,702095;1,729169;1,685871;1,7431
44,5;;1,710452;1,735646;1,695457;1,749657
45;;1,71881;1,742075;1,705097;1,756116
45,5;;1,727167;1,748456;1,714791;1,762478
46;;1,735524;1,75479;1,724541;1,768743
46,5;;1,743881;1,761079;1,734346;1,77491
47;;1,752238;1,767322;1,744207;1,78098
47,5;;1,760595;1,773521;1,754124;1,786953
48;;1,768952;1,779676;1,764097;1,792829
48,5;;1,77731;1,785789;1,774127;1,798607
49;;1,785667;1,79186;1,784215;1,804288
49,5;;1,794024;1,797889;1,794359;1,809871
50;1,81;1,802381;1,803878;1,804561;1,815357
50,5;;1,810738;1,809827;1,814821;1,820746
51;;1,819095;1,815737;1,82514;1,826038
51,5;;1,827452;1,821607;1,835517;1,831232
52;;1,83581;1,82744;1,845953;1,836329
52,5;;1,844167;1,833236;1,856449;1,841328
53;;1,852524;1,838995;1,867004;1,84623
53,5;;1,860881;1,844717;1,877619;1,851035
54;;1,869238;1,850404;1,888294;1,855743
54,5;;1,877595;1,856056;1,899031;1,860353
55;;1,885952;1,861673;1,909828;1,864866
55,5;;1,89431;1,867256;1,920687;1,869282
56;;1,902667;1,872805;1,931607;1,8736
56,5;;1,911024;1,878321;1,942589;1,877821
57;;1,919381;1,883805;1,953634;1,881945
57,5;;1,927738;1,889257;1,964742;1,885971
58;;1,936095;1,894677;1,975913;1,8899
58,5;;1,944452;1,900066;1,987147;1,893732
59;;1,95281;1,905424;1,998446;1,897466
59,5;;1,961167;1,910752;2,009808;1,901103
60;1,91;1,969524;1,91605;2,021235;1,904643
60,5;;1,977881;1,921319;2,032727;1,908085
61;;1,986238;1,926558;2,044285;1,91143
61,5;;1,994595;1,931769;2,055908;1,914678
62;;2,002952;1,936952;2,067597;1,917829
62,5;;2,01131;1,942106;2,079353;1,920882
63;;2,019667;1,947234;2,091175;1,923838
63,5;;2,028024;1,952334;2,103065;1,926696
64;;2,036381;1,957407;2,115022;1,929457
64,5;;2,044738;1,962454;2,127048;1,932121
65;;2,053095;1,967474;2,139141;1,934688
